,EOSUSDT,GLMRUSDT,spread,zscore
0,0.544,0.16965,-0.027720499999999926,
1,0.541,0.16897,-0.02842889999999998,
2,0.539,0.16689,-0.023419300000000032,
3,0.537,0.16747,-0.027373900000000062,
4,0.537,0.1659,-0.022082999999999964,
5,0.539,0.16705,-0.023958499999999994,
6,0.536,0.16523,-0.02082509999999993,
7,0.53,0.16381,-0.022039699999999995,
8,0.534,0.16296,-0.015175199999999944,
9,0.535,0.16314,-0.014781799999999956,
10,0.539,0.16362,-0.01239939999999995,
11,0.541,0.16369,-0.010635300000000014,
12,0.546,0.16417,-0.0072529000000000066,
13,0.541,0.16359,-0.010298299999999982,
14,0.542,0.16395,-0.010511500000000007,1.1018180610461041
15,0.554,0.16695,-0.008621499999999949,1.198269293354749
16,0.553,0.16502,-0.003117399999999937,1.6982858752858931
17,0.553,0.16488,-0.0026455999999999147,1.5004741333359093
18,0.553,0.16584,-0.005880799999999908,0.9764621826385764
19,0.554,0.16574,-0.004543799999999987,1.0335352526183497
20,0.553,0.16569,-0.005375299999999972,0.8227669423932868
21,0.559,0.1674,-0.005137999999999976,0.7701106712757161
22,0.565,0.16855,-0.0030135000000001133,1.1818599963809964
23,0.564,0.16831,-0.0032047000000000603,1.0310610179472193
24,0.559,0.1672,-0.0044639999999999125,0.6174766578759157
25,0.56,0.16891,-0.009226700000000032,-1.0123968016137468
26,0.553,0.16691,-0.009486699999999959,-1.1711427199209758
27,0.553,0.16807,-0.013395900000000016,-2.014391757278555
28,0.553,0.1679,-0.012822999999999918,-1.670470987179514
29,0.545,0.16677,-0.017014899999999944,-2.2255722416917396
30,0.545,0.16775,-0.02031749999999999,-2.2178798328389377
31,0.546,0.1675,-0.01847500000000002,-1.5785655560761835
32,0.547,0.16767,-0.018047900000000006,-1.3035788532246522
33,0.547,0.16766,-0.01801419999999998,-1.1281421262073843
34,0.547,0.16688,-0.0153856,-0.6161295758195979
35,0.547,0.1662,-0.013093999999999939,-0.1707368193918339
36,0.549,0.16647,-0.012003899999999956,0.09310772286628065
37,0.551,0.16655,-0.010273499999999935,0.5406886098679367
38,0.549,0.1653,-0.008060999999999985,1.1663205887405583
39,0.546,0.16495,-0.009881499999999988,0.9678582990664962
40,0.546,0.16571,-0.012442699999999918,0.39056505507583866
41,0.544,0.16473,-0.011140099999999986,0.7898787450832965
42,0.547,0.16593,-0.01218409999999992,0.4781919223638871
43,0.549,0.16604,-0.010554799999999975,0.8577492604853294
44,0.554,0.16665,-0.0076104999999999645,1.3968220732115952
45,0.556,0.16727,-0.007699899999999982,1.2568403713589538
46,0.555,0.16686,-0.0073182000000000524,1.2287100673653428
47,0.556,0.16725,-0.007632500000000042,1.0477705105470516
48,0.556,0.1662,-0.004093999999999931,2.0248071561082215
49,0.554,0.16616,-0.005959199999999942,1.2736875175635958
50,0.557,0.16622,-0.003161399999999981,1.9182442963848985
51,0.558,0.1668,-0.0041160000000000085,1.3705510338521005
52,0.556,0.16619,-0.004060300000000017,1.2019314499411993
53,0.553,0.16565,-0.005240499999999981,0.7379869028025677
54,0.551,0.16438,-0.00296059999999998,1.2656792939824795
55,0.552,0.16515,-0.004555499999999935,0.6775426456531372
56,0.555,0.16473,-0.00014009999999997635,1.838194884295245
57,0.554,0.16545,-0.003566500000000028,0.6502759565082152
58,0.555,0.1644,0.0009720000000000839,2.0933471807471213
