,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
82,10000NFTUSDT,BUSDUSDT,0.02,-3.74,-3.37,0.0,87
237,10000NFTUSDT,USDCUSDT,0.02,-3.71,-3.37,0.0,78
4703,LQTYUSDT,MASKUSDT,0.0,-4.68,-3.37,0.31,56
250,10000NFTUSDT,YFIIUSDT,0.02,-3.68,-3.37,0.0,53
7257,YFIIUSDT,XNOUSDT,0.0,-4.82,-3.37,697.02,51
7248,YFIIUSDT,USDCUSDT,0.0,-4.52,-3.37,426.81,51
4884,MINAUSDT,1000BTTUSDT,0.03,-3.5,-3.37,965.2,51
7110,YFIIUSDT,BUSDUSDT,0.0,-4.51,-3.37,426.85,51
1995,CEEKUSDT,CROUSDT,0.01,-4.1,-3.37,0.74,49
4483,ILVUSDT,XVSUSDT,0.0,-11.31,-3.37,9.1,49
3623,FTMUSDT,GALAUSDT,0.0,-4.83,-3.37,13.37,48
3490,FLOWUSDT,WOOUSDT,0.01,-3.83,-3.37,2.65,48
4489,ILVUSDT,ZILUSDT,0.01,-4.0,-3.37,2513.56,47
3076,DOTUSDT,XVSUSDT,0.02,-3.68,-3.37,0.92,47
4848,MASKUSDT,SANDUSDT,0.0,-4.11,-3.37,8.6,46
5802,RLCUSDT,1000BTTUSDT,0.02,-3.71,-3.37,2614.04,45
810,ALPHAUSDT,IDEXUSDT,0.0,-4.99,-3.37,1.68,45
5326,OGUSDT,DASHUSDT,0.03,-3.53,-3.37,0.18,45
2141,CEEKUSDT,XNOUSDT,0.0,-4.68,-3.37,0.06,45
4452,ILVUSDT,SNXUSDT,0.0,-12.27,-3.37,19.02,45
700,ALICEUSDT,GLMRUSDT,0.02,-3.7,-3.37,4.51,45
3410,ETHWUSDT,SHIB1000USDT,0.01,-3.94,-3.37,172.78,45
323,1000BTTUSDT,OCEANUSDT,0.01,-3.79,-3.37,0.0,45
7212,YFIIUSDT,PAXGUSDT,0.01,-3.98,-3.37,0.22,45
6719,TWTUSDT,XVSUSDT,0.0,-5.54,-3.37,0.18,44
5343,OGUSDT,THETAUSDT,0.02,-3.75,-3.37,7.77,44
590,AGIXUSDT,LINAUSDT,0.0,-4.14,-3.37,17.12,44
5344,OGUSDT,TLMUSDT,0.0,-5.02,-3.37,470.89,44
3773,GALAUSDT,THETAUSDT,0.0,-4.84,-3.37,0.02,44
286,1000BTTUSDT,CROUSDT,0.0,-4.11,-3.37,0.01,44
3800,GFTUSDT,HOTUSDT,0.0,-5.3,-3.37,7.99,44
